Dash Size,O-Ring Cross Section Size,O-Ring Internal Diameter Size
001,0.04,0.029
002,0.05,0.042
003,0.06,0.056
004,0.07,0.07
005,0.07,0.101
006,0.07,0.114
007,0.07,0.145
008,0.07,0.176
009,0.07,0.208
010,0.07,0.239
011,0.07,0.301
012,0.07,0.364
013,0.07,0.426
014,0.07,0.489
015,0.07,0.551
016,0.07,0.614
017,0.07,0.676
018,0.07,0.739
019,0.07,0.801
020,0.07,0.864
021,0.07,0.926
022,0.07,0.989
023,0.07,1.051
024,0.07,1.114
025,0.07,1.176
026,0.07,1.239
027,0.07,1.301
028,0.07,1.364
029,0.07,1.489
030,0.07,1.614
031,0.07,1.739
032,0.07,1.864
033,0.07,1.989
034,0.07,2.114
035,0.07,2.239
036,0.07,2.364
037,0.07,2.489
038,0.07,2.614
039,0.07,2.739
040,0.07,2.864
041,0.07,2.989
042,0.07,3.239
043,0.07,3.489
044,0.07,3.739
045,0.07,3.989
046,0.07,4.239
047,0.07,4.489
048,0.07,4.739
049,0.07,4.989
050,0.07,5.239
102,0.103,0.049
103,0.103,0.081
104,0.103,0.112
105,0.103,0.143
106,0.103,0.174
107,0.103,0.206
108,0.103,0.237
109,0.103,0.299
110,0.103,0.362
111,0.103,0.424
112,0.103,0.487
113,0.103,0.549
114,0.103,0.612
115,0.103,0.674
116,0.103,0.737
117,0.103,0.799
118,0.103,0.862
119,0.103,0.924
120,0.103,0.987
121,0.103,1.049
122,0.103,1.112
123,0.103,1.174
124,0.103,1.237
125,0.103,1.299
126,0.103,1.362
127,0.103,1.424
128,0.103,1.487
129,0.103,1.549
130,0.103,1.612
131,0.103,1.674
132,0.103,1.737
133,0.103,1.799
134,0.103,1.862
135,0.103,1.925
136,0.103,1.987
137,0.103,2.05
138,0.103,2.112
139,0.103,2.175
140,0.103,2.237
141,0.103,2.3
142,0.103,2.362
143,0.103,2.425
144,0.103,2.487
145,0.103,2.55
146,0.103,2.612
147,0.103,2.675
148,0.103,2.737
149,0.103,2.8
150,0.103,2.862
151,0.103,2.987
152,0.103,3.237
153,0.103,3.487
154,0.103,3.737
155,0.103,3.987
156,0.103,4.237
157,0.103,4.487
158,0.103,4.737
159,0.103,4.987
160,0.103,5.237
161,0.103,5.487
162,0.103,5.737
163,0.103,5.987
164,0.103,6.237
165,0.103,6.487
166,0.103,6.737
167,0.103,6.987
168,0.103,7.237
169,0.103,7.487
170,0.103,7.737
171,0.103,7.987
172,0.103,8.237
173,0.103,8.487
174,0.103,8.737
175,0.103,8.987
176,0.103,9.237
177,0.103,9.487
178,0.103,9.737
201,0.139,0.171
202,0.139,0.234
203,0.139,0.296
204,0.139,0.359
205,0.139,0.421
206,0.139,0.484
207,0.139,0.546
208,0.139,0.609
209,0.139,0.671
210,0.139,0.734
211,0.139,0.796
212,0.139,0.859
213,0.139,0.921
214,0.139,0.984
215,0.139,1.046
216,0.139,1.109
217,0.139,1.171
218,0.139,1.234
219,0.139,1.296
220,0.139,1.359
221,0.139,1.421
222,0.139,1.484
223,0.139,1.609
224,0.139,1.734
225,0.139,1.859
226,0.139,1.984
227,0.139,2.109
228,0.139,2.234
229,0.139,2.359
230,0.139,2.484
231,0.139,2.609
232,0.139,2.734
233,0.139,2.859
234,0.139,2.984
235,0.139,3.109
236,0.139,3.234
237,0.139,3.359
238,0.139,3.484
239,0.139,3.609
240,0.139,3.734
241,0.139,3.859
242,0.139,3.984
243,0.139,4.109
244,0.139,4.234
245,0.139,4.359
246,0.139,4.484
247,0.139,4.609
248,0.139,4.734
249,0.139,4.859
250,0.139,4.984
251,0.139,5.109
252,0.139,5.234
253,0.139,5.359
254,0.139,5.484
255,0.139,5.609
256,0.139,5.734
257,0.139,5.859
258,0.139,5.984
259,0.139,6.234
260,0.139,6.484
261,0.139,6.734
262,0.139,6.984
263,0.139,7.234
264,0.139,7.484
265,0.139,7.734
266,0.139,7.984
267,0.139,8.234
268,0.139,8.484
269,0.139,8.734
270,0.139,8.984
271,0.139,9.234
272,0.139,9.484
273,0.139,9.734
274,0.139,9.984
275,0.139,10.484
276,0.139,10.984
277,0.139,11.484
278,0.139,11.984
279,0.139,12.984
280,0.139,13.984
281,0.139,14.984
282,0.139,15.955
283,0.139,16.955
284,0.139,17.955
309,0.21,0.412
310,0.21,0.475
311,0.21,0.537
312,0.21,0.6
313,0.21,0.662
314,0.21,0.725
315,0.21,0.787
316,0.21,0.85
317,0.21,0.912
318,0.21,0.975
319,0.21,1.037
320,0.21,1.1
321,0.21,1.162
322,0.21,1.225
323,0.21,1.287
324,0.21,1.35
325,0.21,1.475
326,0.21,1.6
327,0.21,1.725
328,0.21,1.85
329,0.21,1.975
330,0.21,2.1
331,0.21,2.225
332,0.21,2.35
333,0.21,2.475
334,0.21,2.6
335,0.21,2.725
336,0.21,2.85
337,0.21,2.975
338,0.21,3.1
339,0.21,3.225
340,0.21,3.35
341,0.21,3.475
342,0.21,3.6
343,0.21,3.725
344,0.21,3.85
345,0.21,3.975
346,0.21,4.1
347,0.21,4.225
348,0.21,4.35
349,0.21,4.475
350,0.21,4.6
351,0.21,4.725
352,0.21,4.85
353,0.21,4.975
354,0.21,5.1
355,0.21,5.225
356,0.21,5.35
357,0.21,5.475
358,0.21,5.6
359,0.21,5.725
360,0.21,5.85
361,0.21,5.975
362,0.21,6.225
363,0.21,6.475
364,0.21,6.725
365,0.21,6.975
366,0.21,7.225
367,0.21,7.475
368,0.21,7.725
369,0.21,7.975
370,0.21,8.225
371,0.21,8.475
372,0.21,8.725
373,0.21,8.975
374,0.21,9.225
375,0.21,9.475
376,0.21,9.725
377,0.21,9.975
378,0.21,10.475
379,0.21,10.975
380,0.21,11.475
381,0.21,11.975
382,0.21,12.975
383,0.21,13.975
384,0.21,14.975
385,0.21,15.955
386,0.21,16.955
387,0.21,17.955
388,0.21,18.955
389,0.21,19.955
390,0.21,20.955
391,0.21,21.955
392,0.21,22.94
393,0.21,23.94
394,0.21,24.94
395,0.21,25.94
425,0.275,4.475
426,0.275,4.6
427,0.275,4.725
428,0.275,4.85
429,0.275,4.975
430,0.275,5.1
431,0.275,5.225
432,0.275,5.35
433,0.275,5.475
434,0.275,5.6
435,0.275,5.725
436,0.275,5.85
437,0.275,5.975
438,0.275,6.225
439,0.275,6.475
440,0.275,6.725
441,0.275,6.975
442,0.275,7.225
443,0.275,7.475
444,0.275,7.725
445,0.275,7.975
446,0.275,8.475
447,0.275,8.975
448,0.275,9.475
449,0.275,9.975
450,0.275,10.475
451,0.275,10.975
452,0.275,11.475
453,0.275,11.975
454,0.275,12.475
455,0.275,12.975
456,0.275,13.475
457,0.275,13.975
458,0.275,14.475
459,0.275,14.975
460,0.275,15.475
461,0.275,15.955
462,0.275,16.455
463,0.275,16.955
464,0.275,17.455
465,0.275,17.955
466,0.275,18.455
467,0.275,18.955
468,0.275,19.455
469,0.275,19.955
470,0.275,20.955
471,0.275,21.955
472,0.275,22.94
473,0.275,23.94
474,0.275,24.94
475,0.275,25.94
901,0.056,0.185
902,0.064,0.239
903,0.064,0.301
904,0.072,0.351
905,0.072,0.414
906,0.078,0.468
907,0.082,0.53
908,0.087,0.644
909,0.097,0.706
910,0.097,0.755
911,0.116,0.863
912,0.116,0.924
913,0.116,0.986
914,0.116,1.047
916,0.116,1.171
918,0.116,1.355
920,0.118,1.475
924,0.118,1.72
928,0.118,2.09
932,0.118,2.337
